Agent Name,KD,Kill,Deaths,Assists,Winrate,Pickrate,ACS,FirstBlood,Totalgame
Sage,0.78,11.5,14.7,4.2,51.9,18.8,164,11.7,9231
Raze,0.9,13.1,14.6,4.3,44.2,11.7,207,13.9,5763
Jett,1.01,14.3,14.1,4.1,53.8,10.8,210,15.2,5304
Reyna,1.01,14.7,14.6,3.9,48.5,10.3,224,14.7,5049
Viper,0.8,11,13.9,4.3,49.3,6.9,165,11.8,3417
Killjoy,0.86,12.6,14.7,4.3,51.6,6.6,185,12.2,3264
Phoenix,0.99,13.1,13.3,4.2,62.3,6.3,202,14.7,3111
Omen,0.85,12.6,14.7,4.5,53.4,6,189,14,2958
Sova,0.8,12.1,15.1,5.4,49,5.1,182,13.4,2499
Brimstone,0.89,12.8,14.3,5.6,54.3,4.8,192,11.1,2346
Skye,0.76,10.4,13.7,3.6,52.6,3.9,149,10.9,1938
Yoru,0.86,12.2,14.2,3.3,52.6,3.9,186,14.9,1938
Cypher,0.95,14.5,15.3,5,36.4,2.3,193,8.8,1122
Breach,0.75,11.4,15.2,4.4,52.4,2.2,161,11.3,1071
Astra,1.2,15.3,12.8,4.8,50,0.4,217,8.2,204
